profits_percent_change,market_value
-,"$7,989.70 "
35.30%,"$67,280.50 "
-,"$4,928.20 "
130.40%,"$20,860.90 "
74.20%,"$34,252.90 "
98.60%,"$5,600 "
189.30%,"$21,551.30 "
27.80%,"$24,215.10 "
95.50%,"$12,638.10 "
-,"$3,358.80 "
92.70%,"$11,383.60 "
21.40%,"$49,868.80 "
348.90%,"$1,133.90 "
-,"$6,763.10 "
13.70%,"$24,198.70 "
-40.20%,"$2,058 "
177.60%,"$5,015 "
3.80%,"$79,937.30 "
68.30%,"$39,714 "
1.10%,"$26,754 "
652.30%,"$6,360.40 "
55.40%,"$11,842.60 "
-,"$26,425 "
65.60%,"$46,717.80 "
42000%,"$3,078.70 "
20737.50%,"$4,284.40 "
24.50%,"$62,548.10 "
55.30%,"$3,208.60 "
-,"$7,314.30 "
-71.70%,$988.10
90.20%,"$5,313 "
-,"$2,008.10 "
65.10%,"$10,560.80 "
37.40%,"$21,875 "
-15.10%,"$3,546.80 "
58.50%,"$21,123.40 "
42.30%,"$7,051.20 "
-,"$4,786.90 "
51.70%,"$32,901 "
7.70%,"$34,187.90 "
-,"$12,716.60 "
81.30%,"$8,386 "
-,"$110,419.90 "
-,"$3,160 "
-,"$7,140.20 "
94.10%,"$111,378 "
27.20%,"$29,298.20 "
59.20%,"$6,197.30 "
554.10%,"$3,455.80 "
-,"$11,135.90 "
-,"$5,930.20 "
-129.40%,"$3,606 "
-,"$42,356.60 "
-28.80%,"$27,492.20 "
-,"$7,874.70 "
-,"$9,807.20 "
-10.90%,"$18,470.50 "
90.60%,"$2,858.10 "
-,"$22,342.40 "
60.70%,"$108,361.90 "
-,"$7,712.40 "
-3.10%,"$5,419.30 "
16.30%,"$5,104.30 "
-,"$1,344.60 "
-,"$20,541.20 "
67.80%,"$19,305.10 "
-72.50%,"$35,577.40 "
66.10%,"$21,959.10 "
-,"$7,540.60 "
91.50%,"$4,551.60 "
-141.20%,"$6,099.10 "
-,"$8,605.20 "
42.30%,"$15,512.70 "
-,"$3,088.70 "
9.90%,"$4,657.30 "
259.10%,"$3,134 "
14.80%,"$24,412.70 "
13.50%,"$30,787.30 "
-2.30%,"$42,295.80 "
0.80%,"$9,920.70 "
-,"$7,700.20 "
-,"$29,696.40 "
-2.60%,"$24,015.10 "
-,"$18,349.50 "
613.10%,"$7,823.30 "
-38.80%,"$41,777.10 "
49978.90%,"$6,062.90 "
-31%,"$2,163.40 "
-,"$6,843 "
38.90%,"$29,113.60 "
-,"$19,485.70 "
77.40%,"$16,967.10 "
53.80%,"$34,307.50 "
-62.30%,"$21,877.90 "
56.10%,"$2,692.70 "
-,$288.60
82.50%,"$73,141.40 "
16.70%,"$5,317.90 "
21.80%,"$8,436.70 "
68.10%,"$15,354.70 "
5.30%,"$24,119.10 "
-,$888.30
74.10%,"$2,907.30 "
-,"$60,583.40 "
110.10%,"$2,788.50 "
-,$360.30
45%,"$7,071.10 "
102.20%,"$43,197.80 "
1.80%,"$9,977.30 "
83.90%,"$21,547.50 "
-,"$20,363.10 "
-,"$30,976.80 "
62.50%,"$4,659 "
8.30%,"$7,374.70 "
29.60%,"$22,009.40 "
28%,"$19,235.10 "
327.70%,-
33.50%,"$16,563.80 "
31.70%,"$12,804.50 "
-,"$2,836.60 "
348.60%,"$5,948.80 "
-,"$5,263.90 "
18.40%,"$18,182.70 "
39.80%,"$1,691.40 "
198.10%,"$9,304.90 "
-10.20%,"$3,849.80 "
-1.10%,"$15,055.40 "
-96.20%,-
42.60%,"$28,746.60 "
79%,"$4,997.70 "
32.30%,"$6,834.60 "
43.10%,"$29,141.80 "
-,$856
-,"$12,891.20 "
80%,"$6,042.80 "
-,"$40,830.30 "
75.40%,"$4,388.40 "
1509.60%,"$4,185.40 "
-2.70%,"$36,135.80 "
63.80%,"$7,226 "
84.30%,"$1,826 "
168.70%,"$23,821.10 "
-,"$12,345.40 "
98.40%,"$119,524.50 "
-65.70%,"$43,001.50 "
119.30%,"$12,987.40 "
-2%,"$11,986.60 "
197.50%,"$24,477.20 "
-,$783.30
13.80%,"$9,959.60 "
25.20%,"$85,492.30 "
2.90%,"$7,728.30 "
-15.20%,$551.80
-,"$9,608 "
10.80%,"$22,102.90 "
30.90%,"$10,976.10 "
-35.20%,"$1,486.90 "
-,"$2,319.30 "
-,"$2,931.50 "
176%,"$5,344.10 "
25030.70%,"$2,421.40 "
82.20%,-
38.20%,"$11,704.70 "
24.30%,"$6,482.50 "
266.70%,-
16.20%,"$54,855.80 "
31.40%,"$16,059.50 "
81.60%,"$2,624.50 "
-,"$60,795.70 "
-39.10%,"$2,948.50 "
379.60%,"$40,337.70 "
-190.60%,"$1,800 "
-131.50%,"$8,073.20 "
-231.40%,-
49.60%,"$5,084.10 "
-58.90%,"$46,580 "
3.90%,"$14,665.90 "
104.60%,"$6,022.20 "
35.40%,"$5,438.60 "
266.10%,$699.50
-,"$61,307.50 "
35.80%,"$4,641.10 "
-,"$10,708 "
133.10%,"$2,678.50 "
-,"$7,042.20 "
274.80%,"$2,804.60 "
-8.50%,"$1,921.10 "
141.80%,"$1,783.20 "
14%,"$51,023.20 "
557.50%,"$3,234.40 "
30.20%,"$9,447.20 "
55.60%,"$10,581.30 "
-,"$1,111.60 "
29.70%,"$4,539.60 "
-,-
-,"$1,966.60 "
46.10%,"$2,945.70 "
-,"$58,458.40 "
104.60%,"$35,066.30 "
131.70%,"$1,408.20 "
-0.10%,"$49,268 "
36.90%,"$2,523.40 "
-,"$1,213.50 "
-,"$8,760.90 "
47.40%,-
119.40%,"$13,456.40 "
165.10%,"$19,862.70 "
-33.80%,"$3,045.40 "
363.30%,"$4,796.10 "
66.30%,"$2,160.10 "
200.30%,"$1,979.70 "
24.30%,"$8,936.90 "
-,"$5,130.60 "
-56.50%,"$34,354.80 "
-94.40%,"$1,290.30 "
-,"$4,891.10 "
78.10%,"$30,085.50 "
380.30%,"$4,927.50 "
-,$531.20
-,"$6,620 "
-,"$2,485.50 "
111.80%,"$1,720.50 "
68.10%,"$6,419.30 "
121.50%,"$9,001.40 "
-18.80%,"$2,519.40 "
-88.80%,"$24,676.20 "
-,"$14,018.70 "
10.90%,"$10,002.10 "
42.80%,-
50.70%,"$6,073.80 "
12.40%,"$8,820 "
160.90%,"$3,149.30 "
235.90%,"$3,100.40 "
-,"$9,243.30 "
153.30%,"$7,079 "
47.20%,"$16,870.70 "
65.40%,"$1,262.20 "
57%,"$18,960.30 "
27.60%,"$31,220.30 "
-,"$1,619.50 "
29.40%,"$19,202.60 "
-29.40%,"$3,869.20 "
-13.60%,"$5,233.60 "
-,$900.10
-13.10%,"$8,699.10 "
7.30%,"$15,670.60 "
2970%,$991.70
-35%,"$4,012 "
26.40%,"$18,122.70 "
-,"$8,164.20 "
-,$463.90
358.80%,"$1,770.90 "
38.40%,"$9,223.40 "
25.40%,"$2,434.10 "
-,"$2,029.60 "
-,"$4,284.60 "
-,"$2,728.10 "
32.70%,"$1,963 "
-3.40%,"$4,681.40 "
7.30%,"$14,425.40 "
41.20%,"$10,032.20 "
-,"$5,125 "
-22%,-
-,"$1,504.70 "
39%,"$5,083.40 "
-303.80%,$433.70
10.10%,"$1,269.80 "
13%,"$12,148.20 "
209.70%,"$3,763.40 "
31.20%,"$5,987.10 "
96.50%,"$7,255.50 "
684.80%,"$5,787.80 "
17%,"$19,210 "
23.40%,"$6,628.90 "
9.20%,"$31,376.60 "
74%,"$2,592.30 "
477.50%,"$21,872.10 "
-,"$5,139 "
45.30%,"$8,573.80 "
43.90%,"$68,438.20 "
-,"$3,871.10 "
140.60%,"$6,158.90 "
10.70%,"$16,182.80 "
63.90%,"$5,391.50 "
45.60%,"$17,744.10 "
-,"$7,234 "
18.20%,"$2,298.60 "
-,$890.80
1351.40%,"$1,669.60 "
102.50%,-
-79.80%,$826.50
376.70%,"$3,369.40 "
24.20%,"$54,957.10 "
439.30%,"$1,701.90 "
-67.10%,"$25,899.40 "
-,"$3,391.50 "
-,"$5,679.70 "
111.10%,"$4,275.10 "
108.70%,"$1,635.10 "
25.70%,"$2,286.50 "
351.50%,"$2,142.10 "
30.50%,"$3,505.20 "
135.70%,"$8,961.10 "
74.10%,"$3,056.20 "
-13.60%,"$4,758.30 "
142.40%,"$2,840.10 "
502.10%,"$3,947.90 "
34.10%,"$8,079.10 "
18.20%,"$12,542.90 "
-,"$2,375.40 "
14%,"$7,702.90 "
-39%,"$12,704.60 "
28%,"$46,089.30 "
33.90%,"$8,906.70 "
-,"$13,384.60 "
-,$643.90
-23.70%,"$35,463.30 "
-,$991.40
17.20%,"$3,000.60 "
-,$364.70
818.60%,"$2,537.80 "
-,"$1,070.80 "
-18.40%,-
304.20%,"$19,882.60 "
-,"$4,966.20 "
-,"$4,337.10 "
41.50%,"$2,821 "
227.80%,"$5,840.40 "
-,"$7,708.20 "
-,"$6,799.30 "
-41.60%,"$3,148 "
4.40%,"$1,721.70 "
-566.30%,$561.20
-,"$4,976.70 "
-4.50%,"$3,200.50 "
-,"$12,955.40 "
22.20%,"$20,395.70 "
32.60%,"$2,322.40 "
-,"$10,498.30 "
146.40%,"$11,854.40 "
-,"$2,191.70 "
11.40%,-
-,"$2,365.60 "
-6.50%,"$34,616.20 "
93.90%,"$3,617.60 "
-,"$6,658.20 "
-1.20%,"$4,962.60 "
20.80%,"$4,087.80 "
17.80%,"$45,781.70 "
-,"$17,577.60 "
116%,"$31,007 "
32.50%,"$5,660.50 "
4.60%,"$3,076 "
-,"$1,076 "
-97.10%,"$7,223.50 "
109.50%,"$9,958.20 "
-,$388.50
57.50%,"$8,327.60 "
32.50%,"$42,773.40 "
57.90%,"$27,961.70 "
-,"$7,964 "
286%,"$4,415.60 "
-,"$2,098.60 "
17.70%,"$8,904.40 "
11.60%,"$16,982.20 "
1135.20%,"$20,587.80 "
922.50%,"$7,882.50 "
-,"$5,542.20 "
837.70%,"$3,009.90 "
25.40%,"$1,375.80 "
-,"$13,875.90 "
-42.10%,"$20,179.90 "
73.90%,"$10,177.40 "
20.20%,"$10,422.10 "
-,"$3,216.20 "
11.60%,"$6,416.40 "
1608%,"$2,814.60 "
24.40%,"$4,630 "
126%,"$8,825 "
-,"$29,916.90 "
-,-
-,"$10,281 "
19.20%,"$19,398.40 "
91.20%,"$30,508.20 "
-,"$1,662.50 "
-,"$2,757.60 "
-26.50%,"$6,622.10 "
44.70%,"$16,642.10 "
-,"$10,463.50 "
-,"$3,350.80 "
-,"$20,696.80 "
32.80%,"$18,783.40 "
-,-
1093.50%,$371.90
