revenues ,profits
"$4,909.70 ",$156.10 ,-
"$4,899.60 ",$584.90 ,-
"$4,895 ","$1,314 "
"$4,888 ",($468),-
"$4,818.80 ",$230.80 ,75.40%
"$4,799.70 ",$455.10 ,1509.60%
"$4,798 ",$680 ,-2.70%
"$4,783.10 ",$824.90 ,63.80%
"$4,771.70 ",$168.80 ,84.30%
"$4,770.60 ",$408.80 ,168.70%
"$4,765 ",($472),-
"$4,759.40 ","$2,939.70 "
"$4,742.10 ",$336.10 ,-65.70%
"$4,741.40 ",$650.90 ,119.30%
"$4,735.40 ",$252.70 ,-2%
"$4,734 ",$793.60 ,197.50%
"$4,710.10 ",($81.30),-
"$4,703.50 ",$399.50 ,13.80%
"$4,689.70 ","$2,636.40 "
"$4,648.40 ",$834.60 ,2.90%
"$4,641.80 ",$91.90 ,-15.20%
"$4,619.40 ",($186.90),-
"$4,614.30 ",$445.30 ,10.80%
"$4,601.70 ",$820.50 ,30.90%
"$4,583.50 ",$134.90 ,-35.20%
"$4,575 ",($54),-
"$4,569 ",($78.50),-
"$4,553 ","$1,377 "
"$4,548.80 ",$310.60 ,25030.70%
"$4,545.60 ",$522.90 ,82.20%
"$4,542 ",$610.90 ,38.20%
"$4,540 ",$338 ,24.30%
"$4,526.20 ",$739.90 ,266.70%
"$4,526 ",$762 ,16.20%
"$4,491.50 ",$450.20 ,31.40%
"$4,472.70 ",$287.70 ,81.60%
"$4,462.40 ",($421),-
"$4,450.20 ","$1,003.50 "
"$4,427.90 ","$1,709.30 "
"$4,405.50 ",($12.50),-190.60%
"$4,400.80 ",($121.10),-131.50%
"$4,392.90 ",($165.10),-231.40%
"$4,391.80 ",$699.30 ,49.60%
"$4,386.40 ",$497 ,-58.90%
"$4,357.40 ",$510.50 ,3.90%
"$4,333.80 ",$409.90 ,104.60%
"$4,330.80 ",$206.20 ,35.40%
"$4,277.20 ",$296.10 ,266.10%
"$4,256.10 ",($498.90),-
"$4,254.50 ",$291.20 ,35.80%
"$4,251 ",$421 ,-
"$4,232.40 ",$171.50 ,133.10%
"$4,230 ","$2,126 "
"$4,230 ",$801 ,274.80%
"$4,224.40 ",$108.80 ,-8.50%
"$4,216.30 ",$498.50 ,141.80%
"$4,204.20 ",$757.50 ,14%
"$4,200.20 ",$105.20 ,557.50%
"$4,194.10 ",$464 ,30.20%
"$4,143.10 ",$802.90 ,55.60%
"$4,140 ",($28),-
"$4,132.90 ",$369.10 ,29.70%
"$4,132 ",($27),-
"$4,122.40 ",$215.60 ,-
"$4,122.20 ",$441 ,46.10%
"$4,117 ",($488),-
"$4,099.90 ","$1,375.60 "
"$4,078.10 ",$224.90 ,131.70%
"$4,056.80 ","$1,097.50 "
"$4,030.80 ",$493.30 ,36.90%
"$4,029.40 ","($1,184.90)"
"$4,021.80 ",($189),-
"$4,016.20 ",$419.20 ,47.40%
"$4,015.30 ",$733.60 ,119.40%
"$3,998 ",$585 ,165.10%
"$3,993.40 ",$247.90 ,-33.80%
"$3,984.20 ",$327.40 ,363.30%
"$3,982.20 ",$469.30 ,66.30%
"$3,980.10 ",$213.50 ,200.30%
"$3,959.60 ",$409.90 ,24.30%
"$3,953 ",($540.80),-
"$3,952.60 ",$772 ,-56.50%
"$3,943.20 ",$113.50 ,-94.40%
"$3,940 ",$47 ,-
"$3,930 ","$1,263 "
"$3,925.30 ",$927.40 ,380.30%
"$3,905.20 ",($78.80),-
"$3,890 ",$49 ,-
"$3,886.80 ",$220.90 ,-
"$3,875 ",$239.90 ,111.80%
"$3,854.30 ",$71.70 ,68.10%
"$3,845.10 ",$597.50 ,121.50%
"$3,833 ",$199 ,-18.80%
"$3,828 ",$49 ,-88.80%
"$3,815.70 ",$242.30 ,-
"$3,810.30 ",$209.90 ,10.90%
"$3,805.70 ",$260.80 ,42.80%
"$3,805.60 ",$203.20 ,50.70%
"$3,803.80 ",$618.70 ,12.40%
"$3,771.20 ",$81.20 ,160.90%
"$3,769.30 ",$468.50 ,235.90%
"$3,763.70 ",($755.80),-
"$3,758.80 ",$688.50 ,153.30%
"$3,758.10 ",$481.70 ,47.20%
"$3,745.90 ",$396.90 ,65.40%
"$3,737.20 ",$550.50 ,57%
"$3,717.90 ",$769 ,27.60%
"$3,712.80 ",$263 ,-
"$3,702.90 ","$1,014.60 "
"$3,689.50 ",$474 ,-29.40%
"$3,680.50 ",$200.80 ,-13.60%
"$3,673.60 ",($1.40),-
"$3,670.90 ",$317.80 ,-13.10%
"$3,669 ",$659 ,7.30%
"$3,664 ",$307 ,2970%
"$3,660.80 ",$64.10 ,-35%
"$3,659.10 ",$492.70 ,26.40%
"$3,653.70 ",$737.30 ,-
"$3,633 ",-,-
"$3,629.80 ",$281.90 ,358.80%
"$3,620.70 ",$500.20 ,38.40%
"$3,619.90 ",$98 ,25.40%
"$3,602.30 ",$54.50 ,-
"$3,588.60 ",$683.90 ,-
"$3,558.30 ",($159.20),-
"$3,557.40 ",$111.90 ,32.70%
"$3,541.10 ",$125.90 ,-3.40%
"$3,540.20 ",$391 ,7.30%
"$3,538.90 ",$487.10 ,41.20%
"$3,533.10 ",$772.20 ,-
"$3,514.80 ",$78.30 ,-22%
"$3,501.90 ",$10.10 ,-
"$3,501.60 ",$195.60 ,39%
"$3,498.20 ",($68.90),-303.80%
"$3,497.60 ",$115.60 ,10.10%
"$3,494.80 ",$529 ,13%
"$3,486.40 ",$339.70 ,209.70%
"$3,486.20 ",$324 ,31.20%
"$3,475.70 ",$238.40 ,96.50%
"$3,463.90 ",$245.30 ,684.80%
"$3,461.20 ",$651.60 ,17%
"$3,461 ",$306.30 ,23.40%
"$3,461 ",$903 ,9.20%
"$3,454 ",$717 ,74%
"$3,449 ","$1,158 "
"$3,438.60 ",$139.90 ,-
"$3,433.50 ",$283.20 ,45.30%
"$3,415.80 ","$1,953.30 "
"$3,409 ",$250 ,-
"$3,408 ",$435.40 ,140.60%
"$3,407.50 ",$665.60 ,10.70%
"$3,379.20 ",$403.80 ,63.90%
"$3,372.80 ",$588.90 ,45.60%
"$3,369.80 ",$463.80 ,-
"$3,368.90 ",$138.90 ,18.20%
"$3,364.20 ",$10.80 ,-
"$3,362.70 ",$363.80 ,1351.40%
"$3,350.80 ",$392.10 ,102.50%
"$3,350.50 ",$21.70 ,-79.80%
"$3,344 ","$1,454 "
